sourcedid,name,address,city,state,zip,latitude,longitude
9861,Allderdice Early Headstart,2409 Shady Avenue,Pittsburgh,PA,15217,40.42941512,-79.91913199
301,Allderdice High School,2409 SHADY AVE,PITTSBURGH,PA,15217,40.42941584,-79.91937003
204,Allegheny 6-8,810 ARCH ST,PITTSBURGH,PA,15212,40.45323078,-80.00865536
9863,Allegheny Early Childhood,810 ARCH STREET,Pittsburgh,PA,15212,40.45326626,-80.00859976
102,Allegheny K-5,810 ARCH ST,PITTSBURGH,PA,15212,40.45318053,-80.0088948
9995,Arlington Early Childhood Center,800 RECTENWALD ST,PITTSBURGH,PA,15210,40.4087008,-79.97932076
101,Arlington PreK-8,800 RECTENWALD ST,PITTSBURGH,PA,15210,40.40856969,-79.97940289
298,Arsenal 6-8,220 40TH STREET,PITTSBURGH,PA,15201,40.46833366,-79.96193817
9984,Arsenal Early Childhood Center,215 39th Street,PITTSBURGH,PA,15201,40.46719251,-79.96283054
108,Arsenal PreK-5,215 39th St,PITTSBURGH,PA,15201,40.46737245,-79.96340875
103,Banksville K-5,1001 CARNAHAN RD,PITTSBURGH,PA,15216,40.4074182,-80.03673077
9888,Beechwood Early Childhood,810 ROCKLAND AVENUE,PITTSBURGH,PA,15216,40.41463554,-80.02056154
105,Beechwood PreK-5,810 ROCKLAND AVE,PITTSBURGH,PA,15216,40.41562862,-80.0207987
9874,Brashear Early Headstart,590 CRANE AVENUE,PITTSBURGH,PA,15216,40.41808237,-80.01822357
329,Brashear High School,590 CRANE AVE,PITTSBURGH,PA,15216,40.41808237,-80.01822357
9866,Brookline Early Childhood,500 WOODBOURNE AVENUE,PITTSBURGH,PA,15226,40.39452138,-80.02487004
110,Brookline PreK-8,500 WOODBOURNE AVE,PITTSBURGH,PA,15226,40.39441107,-80.02473593
304,CAPA 6-12,111 9TH STREET,PITTSBURGH,PA,15222,40.44445481,-79.9982823
9891,Carmalt Early Childhood Center,1550 BREINING STREET,PITTSBURGH,PA,15226,40.38781667,-80.00674367
112,Carmalt PreK-8,1550 BREINING ST,PITTSBURGH,PA,15226,40.38765323,-80.00680804
9859,Carnegie Science Center Early Childhood,1 Allegheny Ave,Pittsburgh,PA,15212,40.44626122,-80.01868486
305,Carrick High School,125 PARKFIELD ST,PITTSBURGH,PA,15210,40.39087289,-79.98911619
9996,Chartiers Early Childhood Center,3799 CHARTIERS AVENUE,PITTSBURGH,PA,15204,40.45758331,-80.075932
444,Children's Hospital,FIFTH AVENUE,PITTSBURGH,PA,15213,40.46680491,-79.9530256
9879,Childrens Museum Early Childhood,10 CHILDRENS WAY,PITTSBURGH,PA,15212,40.45258848,-80.00696996
475,City Connections - CCAC,215 BYERS HALL 808 RIDGE AVENUE,PITTSBURGH,PA,15212,40.45057849,-80.01377047
474,City Connections - East,6322 FORWARD AVENUE,PITTSBURGH,PA,15217,40.42874354,-79.92050493
477,City Connections - North,3450 CALIFORNIA AVENUE,PITTSBURGH,PA,15212,40.47773973,-80.04006246
473,City Connections - Point Park,201 WOOD STREET,PITTSBURGH,PA,15222,40.4385514,-80.00142883
472,City Connections - West,2945 CHARTIERS AVE,PITTSBURGH,PA,15204,40.45397929,-80.05761487
215,Classical 6-8,1463 CHARTIERS AVE 3RD FLOOR,PITTSBURGH,PA,15220,40.44847384,-80.05052805
9991,Classical Academy  Early Childhood Center,1463 Chartiers Avenue,PITTSBURGH,PA,15220,40.44871878,-80.04877925
335,Clayton Academy,1901 CLAYTON ST,PITTSBURGH,PA,15214,40.46174705,-80.01055406
116,Colfax K-8,2332 BEECHWOOD BLVD,PITTSBURGH,PA,15217,40.43305686,-79.91536245
9871,Concord Early Childhood,2350 BROWNSVILLE ROAD,PITTSBURGH,PA,15210,40.38720378,-79.98441696
118,Concord K-5,2350 BROWNSVILLE RD,PITTSBURGH,PA,15210,40.38739624,-79.98455732
419,Conroy,1398 PAGE ST,PITTSBURGH,PA,15233,40.45169449,-80.02472689
9993,Conroy Early Childhood,1398 PAGE STREET,PITTSBURGH,PA,15233,40.45165794,-80.02502561
9870,Crescent Early Childhood,8080 BENNETT STREET,PITTSBURGH,PA,15221,40.45416241,-79.88118372
9887,Dilworth Early Childhood,6200 STANTON AVENUE,PITTSBURGH,PA,15206,40.46843317,-79.91759777
161,Dilworth PreK-5,6200 STANTON AVE,PITTSBURGH,PA,15206,40.46819048,-79.91743588
142,Faison K-5,7430 TIOGA ST,PITTSBURGH,PA,15208,40.45249142,-79.89406529
9885,Fulton Early Childhood,5799 HAMPTON ST,PITTSBURGH,PA,15206,40.47484011,-79.92184639
134,Fulton PreK-5,5799 HAMPTON ST,PITTSBURGH,PA,15206,40.47494665,-79.92200951
490,Gifted Center,1400 CRUCIBLE STREET,PITTSBURGH,PA,15205,40.44859775,-80.04968351
9862,Grandview Early Childhood,845 MCLAIN STREET,PITTSBURGH,PA,15210,40.42449442,-79.99250114
136,Grandview PreK-5,845 MCLAIN ST,PITTSBURGH,PA,15210,40.42448625,-79.99309123
9875,Greenfield Early Childhood,1 ALGER STREET,PITTSBURGH,PA,15207,40.4265485,-79.94502068
137,Greenfield PreK-8,1 ALGER ST,PITTSBURGH,PA,15207,40.42651759,-79.94467162
9992,King Early Childhood Center,50 MONTGOMERY PLACE,PITTSBURGH,PA,15212,40.45475208,-80.00443161
195,King PreK-8,50 MONTGOMERY PLACE,PITTSBURGH,PA,15212,40.45480328,-80.00496104
140,Langley K-8,2940 SHERADEN BLVD,PITTSBURGH,PA,15204,40.45453189,-80.05466942
147,Liberty K-5,601 FILBERT ST,PITTSBURGH,PA,15232,40.45318028,-79.93347975
9869,Lincoln Early Childhood,328 LINCOLN AVENUE,PITTSBURGH,PA,15206,40.45989506,-79.91131067
148,Lincoln PreK-5,328 LINCOLN AVE,PITTSBURGH,PA,15206,40.46005305,-79.91161139
149,Linden K-5,725 S LINDEN AVE,PITTSBURGH,PA,15208,40.44550819,-79.9162456
9884,Manchester Early Childhood,1612 MANHATTAN STREET,PITTSBURGH,PA,15233,40.45627052,-80.02645254
151,Manchester PreK-8,1612 MANHATTAN ST,PITTSBURGH,PA,15233,40.45644533,-80.0265177
446,Mercy Behavioral Health,1200 REEDSDALE ST,PITTSBURGH,PA,15233,40.44839149,-80.01999036
9883,Mifflin Early Childhood,1290 MIFFLIN ROAD,PITTSBURGH,PA,15207,40.3700701,-79.91510868
153,Mifflin PreK-8,1290 MIFFLIN RD,PITTSBURGH,PA,15207,40.3700701,-79.91473074
9994,Miller Early Childhood Center,2055 BEDFORD AVENUE,PITTSBURGH,PA,15219,40.3699914,-79.98175621
154,Miller PreK-5,2055 BEDFORD AVE,PITTSBURGH,PA,15219,40.44732401,-79.98135003
309,Milliones 6-12,3117 CENTRE AVE,PITTSBURGH,PA,15219,40.44980066,-79.96243131
9988,Minadeo Early Childhood Center,6502 LILAC STREET,PITTSBURGH,PA,15217,40.4238206,-79.92540836
155,Minadeo PreK-5,6502 LILAC ST,PITTSBURGH,PA,15217,40.42341858,-79.92571703
9987,Montessori Early Childhood,201 S GRAHAM STREET,PITTSBURGH,PA,15206,40.46226239,-79.93552778
141,Montessori PreK-5,201 S. GRAHAM STREET,PITTSBURGH,PA,15206,40.46226239,-79.93552778
9882,Morrow Early Childhood,1611 DAVIS AVENUE,PITTSBURGH,PA,15212,40.4800142,-80.03976703
157,Morrow PreK-8,1611 DAVIS AVE,PITTSBURGH,PA,15212,40.48015557,-80.03982504
312,Obama 6-12,515 N. Highland Avenue,PITTSBURGH,PA,15206,40.46706262,-79.92259547
9868,Obama Early Childhood,515 N HIGHLAND AVENUE,PITTSBURGH,PA,15206,40.4668497,-79.92332697
463,Oliver Citywide Academy,2323 BRIGHTON ROAD,PITTSBURGH,PA,15212,40.46442541,-80.02449769
337,Online Academy,93 S. 10th Street,PITTSBURGH,PA,15203,40.4280418,-79.98825622
319,Perry High School,3875 PERRYSVILLE AVE,PITTSBURGH,PA,15214,40.48916016,-80.01903308
168,Phillips K-5,1901 SARAH ST,PITTSBURGH,PA,15203,40.42789199,-79.97832835
469,Pioneer,775 DUNSTER ST,PITTSBURGH,PA,15226,40.40334009,-80.00850882
9989,Roosevelt Early Childhood,17 WEST CHERY HILL STREET,PITTSBURGH,PA,15210,40.39766309,-79.98909473
172,Roosevelt PreK-5,17 W CHERRYHILL ST,PITTSBURGH,PA,15210,40.39781256,-79.98915754
275,Schiller 6-8,1018 PERALTA ST,PITTSBURGH,PA,15212,40.45650733,-79.9930525
9876,Science & Technology Academy Early Childhood,107 THACKERAY STREET,PITTSBURGH,PA,15213,40.44310953,-79.95804548
306,Science And Technology Academy,107 THACKERAY ST,PITTSBURGH,PA,15213,40.4435024,-79.95768167
300,Secondary Summer School,341 S. BELLEFIELD AVE,PITTSBURGH,PA,15213,40.44467812,-79.95066104
250,South Brook 6-8,779 DUNSTER ST,PITTSBURGH,PA,15226,40.40348038,-80.00918984
205,South Hills 6-8,595 CRANE AVE,PITTSBURGH,PA,15216,40.41945957,-80.01818834
9985,Spring Garden Early Childhood,1501 SPRING GARDEN AVENUE,PITTSBURGH,PA,15212,40.46434546,-79.98543606
178,Spring Hill K-5,1351 DAMAS ST,PITTSBURGH,PA,15212,40.46554368,-79.98973702
279,Sterrett 6-8,7100 REYNOLDS ST,PITTSBURGH,PA,15208,40.44659526,-79.90539295
332,Student Achievement Center,925 BRUSHTON AVENUE,PITTSBURGH,PA,15208,40.45635415,-79.88839181
9867,Sunnyside Early Childhood,4801 STANTON AVENUE,PITTSBURGH,PA,15201,40.48131174,-79.93351936
181,Sunnyside PreK-8,4801 STANTON AVE,PITTSBURGH,PA,15201,40.48156439,-79.93350901
9877,University Prep Early Childhood,3117 CENTRE AVENUE,PITTSBURGH,PA,15219,40.44967402,-79.96203661
9986,Weil Early Childhood Center,2250 CENTRE AVENUE,PITTSBURGH,PA,15219,40.44430164,-79.97413874
184,Weil PreK-5,2250 CENTRE AVE,PITTSBURGH,PA,15219,40.44453018,-79.97399512
185,West Liberty PreK-5,785 DUNSTER AVE,PITTSBURGH,PA,15226,40.40304737,-80.00994086
356,Westinghouse Academy 6-12,1101 NORTH MURTLAND AVENUE,PITTSBURGH,PA,15208,40.46099661,-79.90116984
9873,Westinghouse Early Headstart,1101 N. MURTLAND AVENUE,PITTSBURGH,PA,15208,40.46080932,-79.90098953
9865,Westwood Early Childhood,508 Shadyhill Road,Pittsburgh,PA,15205,40.43158747,-80.05087137
186,Westwood K-5,508 SHADYHILL RD,PITTSBURGH,PA,15205,40.4318978,-80.05117178
187,Whittier K-5,150 MERIDAN ST,PITTSBURGH,PA,15211,40.43585221,-80.01895544
9864,Woolslair Early Childhood,501 40th Street,Pittsburgh,PA,15224,40.46322554,-79.95710135
189,Woolslair PreK-5,501 - 40TH ST,PITTSBURGH,PA,15224,40.46342609,-79.95720418
